Proyecto,Tipo Especificación,Título API,Versión,Path,Método,Parámetros
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/ssh_certificates","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/ssh_certificates","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/ssh_certificates/{ssh_certificates_id}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/runners","GET",8
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/runners/reset_registration_token","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/Release.gpg","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/Release","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/InRelease","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/{component}/debian-installer/binary-{architecture}/Packages","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/{component}/debian-installer/binary-{architecture}/by-hash/SHA256/{file_sha256}","GET",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/{component}/source/Sources","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/{component}/source/by-hash/SHA256/{file_sha256}","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/{component}/binary-{architecture}/Packages","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/dists/*distribution/{component}/binary-{architecture}/by-hash/SHA256/{file_sha256}","GET",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/debian/pool/{distribution}/{project_id}/{letter}/{package_name}/{package_version}/{file_name}","GET",7
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/dependency_proxy/cache","DELETE",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/deploy_tokens","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/deploy_tokens","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/deploy_tokens/{token_id}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/deploy_tokens/{token_id}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/avatar","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/clusters","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/clusters/{cluster_id}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/clusters/{cluster_id}","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/clusters/{cluster_id}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/clusters/user","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/registry/repositories","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/debian_distributions","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/debian_distributions","GET",12
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/debian_distributions/{codename}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/debian_distributions/{codename}","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/debian_distributions/{codename}","DELETE",10
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/debian_distributions/{codename}/key.asc","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/export/download","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/export","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/export_relations","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/export_relations/download","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/export_relations/status","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/import/authorize","POST",0
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/import","POST",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/packages","GET",11
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/placeholder_reassignments","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/placeholder_reassignments","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/placeholder_reassignments/authorize","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/variables","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/variables","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/variables/{key}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/variables/{key}","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/variables/{key}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/apple-app-store","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/asana","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/assembla","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/bamboo","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/bugzilla","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/buildkite","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/campfire","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/confluence","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/custom-issue-tracker","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/datadog","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/diffblue-cover","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/discord","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/drone-ci","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/emails-on-push","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/external-wiki","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/gitlab-slack-application","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/google-play","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/hangouts-chat","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/harbor","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/irker","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/jenkins","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/jira","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/jira-cloud-app","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/matrix","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/mattermost-slash-commands","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/slack-slash-commands","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/packagist","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/phorge","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/pipelines-email","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/pivotaltracker","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/pumble","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/pushover","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/redmine","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/ewm","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/youtrack","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/clickup","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/slack","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/microsoft-teams","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/mattermost","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/teamcity","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/telegram","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/unify-circuit","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/webex-teams","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/zentao","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/squash-tm","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/github","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/git-guardian","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/google-cloud-platform-artifact-registry","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/google-cloud-platform-workload-identity-federation","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/mock-ci","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/mock-monitoring","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/{slug}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/integrations/{slug}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/invitations","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/invitations","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/invitations/{email}","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/invitations/{email}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/uploads","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/uploads/{upload_id}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/uploads/{upload_id}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/uploads/{secret}/{filename}","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/uploads/{secret}/{filename}","DELETE",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/maven/*path/{file_name}","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members","GET",8
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/all","GET",7
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/{user_id}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/{user_id}","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/{user_id}","DELETE",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/all/{user_id}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/{user_id}/override","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/{user_id}/override","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/{member_id}/approve","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/approve_all","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/pending_members","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/billable_members","GET",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/members/{user_id}/state","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/billable_members/{user_id}/memberships","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/billable_members/{user_id}/indirect","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/billable_members/{user_id}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/merge_requests","GET",48
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/npm/-/package/*package_name/dist-tags","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/npm/-/package/*package_name/dist-tags/{tag}","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/npm/-/package/*package_name/dist-tags/{tag}","DELETE",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/npm/-/npm/v1/security/advisories/bulk","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/npm/-/npm/v1/security/audits/quick","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/npm/*package_name","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/nuget/index","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/nuget/symbolfiles/*file_name/*signature/*same_file_name","GET",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/nuget/v2","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/nuget/v2/$metadata","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/nuget/metadata/*package_name/index","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/nuget/metadata/*package_name/*package_version","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/nuget/query","GET",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/pypi/files/{sha256}/*file_identifier","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/pypi/simple","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/-/packages/pypi/simple/*package_name","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/releases","GET",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/access_tokens/self/rotate","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/wikis","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/wikis","POST",2
